Link,# models
https://github.com/timsainb/tensorflow2-generative-models,7
https://github.com/tensorflow/gan.git,4
https://keras.io/api/applications/,23
https://github.com/marload/DeepRL-TensorFlow2,11
https://huggingface.co/Capreolus/bert-base-msmarco,1
https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment,1
https://huggingface.co/roberta-large-mnli,1
https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english,1
https://github.com/m3hrdadfi/albert-persian,1
https://huggingface.co/deepset/gelectra-base-germanquad,1
https://huggingface.co/sshleifer/tiny-distilbert-base-cased-distilled-squad,1
https://huggingface.co/distilbert-base-cased-distilled-squad,1
https://huggingface.co/huggingface/prunebert-base-uncased-6-finepruned-w-distil-squad,1
https://huggingface.co/a-ware/longformer-QA,1
https://huggingface.co/huggingface/prunebert-base-uncased-6-finepruned-w-distil-squad,1
https://huggingface.co/Sahajtomar/GELECTRAQA,1
https://huggingface.co/t5-base,1
https://huggingface.co/t5-small,1
https://huggingface.co/Helsinki-NLP/opus-mt-en-de,1
https://huggingface.co/Helsinki-NLP/opus-mt-en-ROMANCE,1
https://huggingface.co/transformers/master/model_doc/mbart.html,1
https://huggingface.co/xlnet-base-cased,1
https://huggingface.co/xlnet-large-cased,1
https://huggingface.co/gpt2,1
https://huggingface.co/distilgpt2,1
https://huggingface.co/gpt2-medium,1
https://huggingface.co/sshleifer/tiny-gpt2,1
https://huggingface.co/openai-gpt,1
https://huggingface.co/sshleifer/tiny-ctrl,1
https://huggingface.co/bert-base-uncased,1
https://huggingface.co/distilbert-base-uncased,1
https://huggingface.co/roberta-base,1
https://huggingface.co/albert-base-v2,1
https://huggingface.co/camembert-base,1
https://huggingface.co/julien-c/bert-xsmall-dummy,1
https://github.com/krasserm/super-resolution,3
https://keras.io/examples/keras_recipes/bayesian_neural_networks/,2
https://keras.io/examples/audio/speaker_recognition_using_cnn/,1
https://github.com/microsoft/tf2-gnn,6
https://keras.io/examples/generative/stylegan/,1
https://keras.io/examples/generative/neural_style_transfer/,1
https://keras.io/examples/timeseries/timeseries_weather_forecasting/,1
https://keras.io/examples/timeseries/timeseries_classification_from_scratch/,1
https://keras.io/examples/timeseries/timeseries_anomaly_detection/,1
https://keras.io/examples/timeseries/timeseries_classification_transformer/,1
https://keras.io/examples/vision/captcha_ocr/,1
https://www.tensorflow.org/tutorials/generative/adversarial_fgsm,1
https://github.com/pierremtb/PINNs-TF2.0,4
total,100
